Lambdas,Train Error,Test Error,Number of Features
0.1427,0.1200,0.1700,11
0.098,0.0500,0.1067,30
0.0711,0.0167,0.0833,100
0.05227,0.0000,0.0600,299
0.0466,0.0000,0.0733,500
