,K,Train Error,Test Error
0,10,0.377,0.4033333333333333
1,30,0.345,0.42833333333333334
2,100,0.30900000000000005,0.43333333333333335
3,300,0.26949999999999996,0.43166666666666664
4,500,0.265,0.42333333333333334
