,K,Train Error,Test Error
0,10,0.07333333333333336,0.10666666666666669
1,30,0.0033333333333332993,0.09333333333333338
2,100,0.0,0.08999999999999997
3,300,0.0,0.08333333333333337
4,500,0.0,0.08666666666666667
