,K,Train Error,Test Error
0,10,0.07466666666666666,0.08699999999999997
1,30,0.03366666666666662,0.038000000000000034
2,100,0.012499999999999956,0.030000000000000027
3,300,0.0,0.027000000000000024
4,500,0.0,0.025000000000000022
