K,Train Error,Test Error
10,0.2433333333333333,0.25
30,0.20999999999999996,0.22333333333333338
100,0.20999999999999996,0.21333333333333337
300,0.19333333333333336,0.20333333333333337
500,0.18333333333333335,0.19999999999999996
